id,name,slug,category,hq,country,founded,employees_min,employees_max,website,description,has_proprietary_tools,proprietary_tools,uses_open_source,open_source_stack,rating,min_project_cost,notes
120,2Stallions,2stallions,independent,Singapore,Singapore,,44,44,https://2stallions.com,Performance marketing agency. Score 28.,,[],,[],4.8,"$1,000",
138,3Q Digital,3q-digital,network,USA,USA,,,,https://3qdigital.com,Performance marketing arm of DEPT.,,[],,[],4.5,,
87,3Q/DEPT,3q-dept,network,Global (Netherlands HQ),Global,,98,98,https://deptagency.com,Global digital agency (DEPT). Score 34.,,[],,[],4.8,"$50,000",
43,ADLABS,adlabs,independent,"Moscow, Russia",Russia,2004,80,80,https://www.adlabs.ru/,Leading Russian marketing agency; proprietary campaign management platform.,1,"[""Proprietary campaign management platform""]",,[],4.3,,
102,AIM,aim,independent,USA,USA,,29,29,https://allinclusivemarketing.com,Performance marketing agency. Score 30.,,[],,[],4.9,"$5,000",
12,AKQA,akqa,specialist,London / Amsterdam,UK,1995,,,https://www.akqa.com,Digital design and innovation agency (part of WPP).,0,[],,[],,,
35,Acceleration Partners,acceleration-partners,independent,Global (3 continents),Global,2007,201,500,https://www.accelerationpartners.com,Award-winning global partnership/performance marketing agency.,1,"[""APVision""]",,[],4.9,,
137,Accenture Interactive,accenture-interactive,network,Global,Global,,,,https://www.accenture.com,Accenture's experience/performance arm (rebranded to Accenture Song).,,[],,[],4.6,,
7,Accenture Song,accenture-song,network,"Global (Dublin, Ireland HQ)",Global,,,,https://www.accenture.com/song,Accenture's tech-powered creative group (formerly Accenture Interactive); includes Droga5.,1,"[""Accenture (internal martech/data platforms)""]",1,"[""Python"", ""dbt"", ""Apache Airflow"", ""TensorFlow""]",,,Large engineering org; open-source data/ML stack inferred.
39,Ad Agents,ad-agents,independent,"Herrenberg, Germany",Germany,1999,201,500,https://www.ad-agents.com/en/,Performance marketing company within Ad Pepper Media Group (clients in 50+ countries).,1,"[""iLead""]",,[],4.0,,
64,AdVenture Media Group,adventure-media-group,independent,"New York, NY, USA",USA,,,,https://adventureppc.com,,,[],,[],,"$5,000/mo",
139,Adlucent,adlucent,independent,USA,USA,,,,https://adlucent.com,Performance marketing agency (part of Epsilon/Publicis).,,[],,[],4.5,,
47,Algorithm,algorithm,independent,"Johannesburg, South Africa",South Africa,2016,5,10,https://www.algorithm.agency/,South African performance marketing & data specialist (with sister agency Quant).,,[],,[],4.9,,
55,Amsive Digital,amsive-digital,independent,"New York, NY, USA",USA,,,,https://amsivedigital.com,,,[],,[],,"$15,000/mo",
