domain,url,title,emails,phones,has_qr,has_nfc,has_pricing,has_social_media,has_seo,has_web_design,has_branding,has_video,has_app_mobile,has_ia,tech,pages,category
adsmedia.dz,https://adsmedia.dz,Accueil - Agence de marketing digital et communication en Al,contact@adsmedia.dz,+0000-00|+0100-02|+0131|+0152-0153|+0301|+0304|+0308|+0329|+0370-0377|+0384-038|+0400-045|+0460-052|+0490-0491|+2000-206|+2020|+2113|+2116|+2122|+213 (0) 665 150|+213665150750|+2191|+2193|+2212|+2215,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,WordPress|jQuery,7,AGENCY
agence-iceberg.com,https://agence-iceberg.com,Agence Iceberg - Agence de communication globale Alger | age,contact@agence-iceberg.com,+213 554 974 288|+33 608 002 829|+604800|0617283950,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,WordPress|jQuery,22,AGENCY
almawarid.app,https://almawarid.app,"ERP, Facturation, RH & Gestion tout-en-un — Almawarid pour e",ahmed@monentreprise.dz|amhallam3@gmail.com|contact@almawarid.app|contact@masociete.dz,+213 6|+213-40-534-283|0560 12 34 56|0560218890,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,Bootstrap,81,QR_MENU
atakor.studio,https://atakor.studio,BRAND | PACKAGING | WEB | DESIGN STUDIO | ATAKOR STUDIO,hello@atakor.studio,+213(0) 778 303|+213(0)39 68|+21339689334|+213778303802|0517844218,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,WordPress|Elementor|jQuery,52,AGENCY
diamond-agency-dz.com,https://diamond-agency-dz.com,Agence de communication pour projets créatifs | Diamond Agen,contact@diamond-agency-dz.com|diamondagency.dz@gmail.com,+00-123-456-789|+0000|+213 (0) 554 22|+213 (0) 554-22|+213 (0) 554222528|+213 (0) 797128397|+604800|0512427704|0539140313|0554.22.25.28|0652 12.5719|0728247776|0751953125|0777 40.5676|0780570999|0797.12.83.97,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,WordPress|Elementor|Bootstrap|jQuery,125,AGENCY
fancommunication.dz,https://www.fancommunication.dz,FAN Advertising Algérie – Agence de communication et marketi,,0561 00 61 61|0561 61 00 61,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,Bootstrap|jQuery,86,AGENCY
hivedigit.com,https://hivedigit.com,Hivedigit,info@hivedigit.com,+213 556 104 860|+213 558 100 777|+604800,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,WordPress|jQuery,15,AGENCY
kyo-conseil.com,https://kyo-conseil.com,"KYŌ Conseil, Communication Digitale et Inbound Marketing en ",,+0000|+604800|0598382940,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,WordPress|jQuery,23,AGENCY
miamms.com,https://www.miamms.com,Miamm's - Menu Digital Qr Code Algérie,,+0000|+0000-00|+0100-02|+0102-0103|+0110-0111|+0128-0129|+0131|+0152-0153|+0168-0169|+0300-0301|+0303-0304|+0304|+0308|+0308-0309|+0323|+0329|+2000-206|+2020|+2113|+2122|+213541575874|+2191|+2193|+2212|+2215|+604800,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,WordPress|Elementor|jQuery,45,QR_MENU
nresto.com,https://nresto.com,Menu QR Code Algérie | Menu Digital | QR Code Menu DZ | NRes,contact@felhanout.com,+213 770 06 46|+213-549-047-570,YES,NO,YES,NO,NO,NO,YES,YES,NO,YES,,9,QR_MENU
